name,price,brand,operating_system,ram,cpu_model,cpu_speed,ratings_count,url
Samsung - Galaxy A71 A716U 5G Fully Unlocked 128GB - Prism Cube Black (Renewed),,Samsung,Android,6 GB,Exynos 980 S5E9630,2.2 GHz,(2098),https://www.amazon.com/Samsung-Galaxy-A716U-Unlocked-Renewed/dp/B08L9MY937/ref=sr_1_103?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-103&th=1
Samsung Galaxy Z Flip 6 5G US Version 512GB Mint - Unlocked (Renewed),,Samsung,Android,12 GB,Snapdragon,3.39 GHz,(143),https://www.amazon.com/SAMSUNG-Galaxy-Flip-Version-512GB/dp/B0DJ9RS74G/ref=sr_1_102?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-102&th=1
Samsung Galaxy S20+ 5G US Version 128GB Cloud Blue - Unlocked (Renewed),,Samsung,Android 10.0,12 GB,Snapdragon,2.42 GHz,(1614),https://www.amazon.com/Galaxy-S20-5G-Unlocked-Smartphone/dp/B08FRTH1KJ/ref=sr_1_101?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-101
Samsung Galaxy A01 SM-A015A 16GB 5.7” Single-SIM Android Smartphone (Renewed) (Black GSM Unlocked),,Samsung,Android 10.0,2 GB,A-Series,2 GHz,(371),https://www.amazon.com/Samsung-SM-A015A-Single-SIM-Smartphone-Unlocked/dp/B08NFCZGJF/ref=sr_1_100?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-100
Samsung Galaxy S22+ Plus 5G US Version 256GB Green - Unlocked (Renewed),,Samsung,Android 12.0,8 GB,Snapdragon,2.5 GHz,(336),https://www.amazon.com/SAMSUNG-Galaxy-S22-Version-256GB/dp/B09WZG188L/ref=sr_1_99?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-99
Samsung Electronics Galaxy Note 20 Ultra 5G Factory Unlocked Android Cell Phone | US Version | 128GB of Storage | Mobile Gaming Smartphone | Mystic Bronze SM-N986UZNAXAA (Renewed),,Samsung,Android,12 GB,Snapdragon 865,2.84 GHz,(2410),https://www.amazon.com/Samsung-Electronics-Factory-Unlocked-Smartphone/dp/B08HHT4XTS/ref=sr_1_98?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung%2Bphone&qid=1774770295&sr=8-98&th=1
Samsung Galaxy S22+ Smartphone Factory Unlocked Android Cell Phone 256GB 8K Camera & Video Brightest Display Long Battery Life Fast 4nm Processor US Version Phantom White (Renewed),,Samsung,Android,8 GB,,,(143),https://www.amazon.com/Samsung-Smartphone-Unlocked-Brightest-Processor/dp/B09VP3PYVP/ref=sr_1_97?dib=eyJ2IjoiMSJ9.UhjVafDYuLxYUq6d5g-RypV5bWK4_lfhQ9IVmklu7BPgISg6aZ4HYbEIOYZlTx21eCrkHFqWm_FP7cSJdLXzIZSbvombYOnTvozLHID3UnRmun9iyqBuWuvkqHDfId_Fq3qqpEU1KsWUFe7ysx-QbEVPwx5JnFEjsnOBHpB7e2dHxA7UJcVhYuQEJRnUR0zSusREGkQNNd3fRX5Vsy4TTYgmlhXkMi__v2zJCt6joI8.oWsGbDxxk5p92Ij7DqsZuHKhenINiuGTXEnBxkGRs10&dib_tag=se&keywords=samsung+phone&qid=1774770295&sr=8-97
Samsung Galaxy S22+ Smartphone Factory Unlocked Android Cell Phone 256GB 8K Camera & Video Brightest Display Long Battery Life Fast 4nm Processor US Version Phantom White (Renewed),,Samsung,Android,8 GB,,,(143),https://www.amazon.com/Samsung-Smartphone-Unlocked-Brightest-Processor/dp/B09VP3PYVP/ref=sr_1_96?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-96
SAMSUNG Galaxy S23 5G SM-S911B/DS 128GB 8GB RAM 50 MP Camera Factory Unlocked – Phantom Black,,Samsung,Android 13.0,8 GB,Snapdragon,2.8 GHz,(136),https://www.amazon.com/SAMSUNG-Galaxy-SM-S911B-Factory-Unlocked/dp/B0BSLDLVYM/ref=sr_1_95?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-95
SAMSUNG Galaxy S22 Cell Phone Factory Unlocked 128GB Black,,Samsung,Android 12.0,8 GB,Snapdragon,2.8 GHz,(65),https://www.amazon.com/SAMSUNG-Galaxy-Phone-Factory-Unlocked/dp/B0CWS4PWT6/ref=sr_1_94?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-94
Samsung Galaxy A51 128GB 6.5 4G LTE Unlocked Black (Renewed),,Samsung,Android 10.0,6 GB,Snapdragon,2.3 GHz,(982),https://www.amazon.com/Samsung-Galaxy-Unlocked-Black-Renewed/dp/B09598JR5G/ref=sr_1_93?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-93
Samsung Galaxy A01 SM-A015A 16GB 5.7” Single-SIM Android Smartphone (Renewed) (Black GSM Unlocked),,Samsung,Android 10.0,2 GB,A-Series,2 GHz,(371),https://www.amazon.com/Samsung-SM-A015A-Single-SIM-Smartphone-Unlocked/dp/B08NFCZGJF/ref=sr_1_92?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-92
Samsung Galaxy A52 (5G) 128GB A526U (T-Mobile/Sprint Unlocked) 6.5 Display Quad Camera Smartphone - Black (Renewed),,Samsung,Android,6 GB,Snapdragon,2.2 GHz,(540),https://www.amazon.com/Samsung-T-Mobile-Unlocked-Display-Smartphone/dp/B093WYVSX2/ref=sr_1_91?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-91
SAMSUNG Galaxy A35 5G A Series Cell Phone 128GB Unlocked Android Smartphone AMOLED Display Advanced Triple Camera System Expandable Storage Rugged Design US Version 2024 Awesome Navy (Renewed),,Samsung,Android,6 GB,Exynos 1380,2 GHz,(187),https://www.amazon.com/SAMSUNG-Galaxy-A35-Smartphone-Expandable/dp/B0D7WFLK1Q/ref=sr_1_90?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-90
Samsung Note 20 5G (AT&T) Unlocked (Renewed),,Samsung,Android,8 GB,Exynos 4412,2.84E+3 MHz,(897),https://www.amazon.com/Samsung-Note-20-Unlocked-Renewed/dp/B08SYQ5WDS/ref=sr_1_89?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung%2Bphone&qid=1774770289&sr=8-89&th=1
SAMSUNG Galaxy A36 5G A Series Cell Phone 128GB Unlocked Android Smartphone AMOLED Display Rugged Design US Version 2025 Awesome Black (Renewed),,Samsung,Android,6 GB,Snapdragon,"2.4, 2.4 GHz",(74),https://www.amazon.com/SAMSUNG-Unlocked-Android-Smartphone-Display/dp/B0FDDKNY2T/ref=sr_1_88?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-88
Samsung Galaxy S21 Ultra 5G US Version 256GB Phantom Black - Unlocked (Renewed),,Samsung,Android 11.0,12 GB,Snapdragon,2.84 GHz,(1136),https://www.amazon.com/Galaxy-S21-Ultra-5G-Smartphone/dp/B096T56NRH/ref=sr_1_87?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-87
Samsung Galaxy A20 32GB 6.4 Display A205U Black Unlocked Smartphone (Renewed),,Samsung,Android 9.0,3 GB,Snapdragon,1.6 GHz,(1143),https://www.amazon.com/Samsung-Unlocked-Android-Smartphone-Renewed/dp/B088XZFKJ5/ref=sr_1_86?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-86
Samsung Galaxy A15 5G AT&T -128GB - 6.5 90Hz AMOLED 50MP Camera/Blue Black (Renewed),,Samsung,Android,,Mediatek Dimensity 6100 Plus,,(66),https://www.amazon.com/SAMSUNG-Galaxy-A15-5G-128GB/dp/B0DB3GLGCN/ref=sr_1_85?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-85
Samsung Galaxy A13 5G Cell Phone AT&T GSM Unlocked Android Smartphone 64GB Long Lasting Battery Expandable Storage Triple Lens Camera Infinite Display Black (Renewed),,Samsung,Android 11.0,4 GB,Core i5,2.2 GHz,(2104),https://www.amazon.com/Galaxy-A13-5G-Smartphone-Expandable/dp/B09T3MQSVP/ref=sr_1_84?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-84
Samsung Galaxy A15 5G A Series Cell Phone AMOLED Display Expandable Storage Knox Security US Version 2024 Blue Black 64GB for T-Mobile only (64 GB),,Samsung,Android,4 GB,1.2GHz Cortex A8 Processor,1.2 GHz,(61),https://www.amazon.com/SAMSUNG-Display-Expandable-Security-T-Mobile/dp/B0DRPR5QGR/ref=sr_1_83?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung%2Bphone&qid=1774770289&sr=8-83&th=1
SAMSUNG Galaxy A15 5G (128GB 2024) 6.5 90Hz AMOLED 50MP Camera 4G Volte (Fully Unlocked International Model for AT&T T-Mobile Verizon Global) A156U (Blue Black) (Renewed),,Samsung,Andorid,4 GB,Cortex,2 GHz,(330),https://www.amazon.com/SAMSUNG-Galaxy-A15-5G-International/dp/B0D2M2N6RK/ref=sr_1_82?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-82
SAMSUNG Galaxy S21 Plus 128GB Black Factory unlocked,,Samsung,Android,8 GB,Snapdragon,2.84 GHz,(162),https://www.amazon.com/SAMSUNG-Galaxy-128GB-Factory-Unlocked/dp/B0C1HY54G9/ref=sr_1_81?dib=eyJ2IjoiMSJ9.K4o4-OtbRrGDUvmt8Ty5awlPO5dTg1qJ7mhaANw_3lP6H10PVu9oiHzpooHNaIjAaOHKnyTd1DwYSBTgXdzOVAB1Sbi1ukyMv4XRp9wSbV3mLgaIm0caM6GPwlowmabEniRpyn1wPhecERdpulp3O7vabXaelWt0EEXxlmZteuaLXbBZBiqMc5-jlxGlelxEyDTItDrDbV8O6eBh3HFVr-H1evIRR347yqwp23RHbvY.0uxcU9UJzYWBEgoRx4VEJTiFx4bKA06jXB1LK523zzU&dib_tag=se&keywords=samsung+phone&qid=1774770289&sr=8-81
Samsung Galaxy S23 FE Factory Unlocked 128GB - Graphite (Renewed),,Samsung,Android,8 GB,Snapdragon,2.5 GHz,(343),https://www.amazon.com/Samsung-Galaxy-S23-FE-Unlocked/dp/B0CXJLHG1J/ref=sr_1_80?dib=eyJ2IjoiMSJ9.9URWIZXNgbzb-oeC_oSYYiSxo7fFZp_-lsAqh9h17Up-RHtRIB4vnZtX2qXdAH-_u32nKEh3BRqIiUbxtYitfKEyj0tAMi5WgJCPo8KvKPTkveDDSds7AdTJNt-kzSYo2hFBkZ3fM2u2e7ymWxppAv4-CqKRJdj6TO3nbVIlV8k_SLny4SkBLPSQfYCJvjhKzoLWZOmt4r7v8Wmn48qCgKZrxWkZB5h5VVkFpUq4TSI.VPBuyHj7vZZhj6w5gW5RaEYN1E3Y99oIugWv0G1I9uY&dib_tag=se&keywords=samsung+phone&qid=1774770284&sr=8-80
SAMSUNG Galaxy S25 Ultra SM-S938B/DS 256GB 12GB RAM AI Smartphone Factory Unlocked Global Model - Titanium Black,,Samsung,Android,12 GB,Snapdragon,4.47 GHz,(144),https://www.amazon.com/SAMSUNG-SM-S938B-Smartphone-Factory-Unlocked/dp/B0DVB31XRZ/ref=sr_1_79?dib=eyJ2IjoiMSJ9.9URWIZXNgbzb-oeC_oSYYiSxo7fFZp_-lsAqh9h17Up-RHtRIB4vnZtX2qXdAH-_u32nKEh3BRqIiUbxtYitfKEyj0tAMi5WgJCPo8KvKPTkveDDSds7AdTJNt-kzSYo2hFBkZ3fM2u2e7ymWxppAv4-CqKRJdj6TO3nbVIlV8k_SLny4SkBLPSQfYCJvjhKzoLWZOmt4r7v8Wmn48qCgKZrxWkZB5h5VVkFpUq4TSI.VPBuyHj7vZZhj6w5gW5RaEYN1E3Y99oIugWv0G1I9uY&dib_tag=se&keywords=samsung%2Bphone&qid=1774770284&sr=8-79&th=1
Samsung Galaxy A14 5G Unlocked 6.6-Inch Infinity-V Display 1080x2408 FHD+ PLS LCD Android 13 One UI Core 5 Bluetooth 5.2 64GB ROM 4GB RAM Expandable MicroSD,,Samsung,Android,4 GB,Mediatek Dimensity 810,2.2 GHz,(200),https://www.amazon.com/Unlocked-Infinity-V-1080x2408-Bluetooth-Expandable/dp/B0CCPNDQCP/ref=sr_1_78?dib=eyJ2IjoiMSJ9.9URWIZXNgbzb-oeC_oSYYiSxo7fFZp_-lsAqh9h17Up-RHtRIB4vnZtX2qXdAH-_u32nKEh3BRqIiUbxtYitfKEyj0tAMi5WgJCPo8KvKPTkveDDSds7AdTJNt-kzSYo2hFBkZ3fM2u2e7ymWxppAv4-CqKRJdj6TO3nbVIlV8k_SLny4SkBLPSQfYCJvjhKzoLWZOmt4r7v8Wmn48qCgKZrxWkZB5h5VVkFpUq4TSI.VPBuyHj7vZZhj6w5gW5RaEYN1E3Y99oIugWv0G1I9uY&dib_tag=se&keywords=samsung+phone&qid=1774770284&sr=8-78
Samsung Galaxy S22 5G US Version 128GB Pink Gold - Unlocked (Renewed),,Samsung,Android,8 GB,Snapdragon,2.5 GHz,(778),https://www.amazon.com/SAMSUNG-Galaxy-S22-Version-128GB/dp/B09V9Z1WLN/ref=sr_1_77?dib=eyJ2IjoiMSJ9.9URWIZXNgbzb-oeC_oSYYiSxo7fFZp_-lsAqh9h17Up-RHtRIB4vnZtX2qXdAH-_u32nKEh3BRqIiUbxtYitfKEyj0tAMi5WgJCPo8KvKPTkveDDSds7AdTJNt-kzSYo2hFBkZ3fM2u2e7ymWxppAv4-CqKRJdj6TO3nbVIlV8k_SLny4SkBLPSQfYCJvjhKzoLWZOmt4r7v8Wmn48qCgKZrxWkZB5h5VVkFpUq4TSI.VPBuyHj7vZZhj6w5gW5RaEYN1E3Y99oIugWv0G1I9uY&dib_tag=se&keywords=samsung+phone&qid=1774770284&sr=8-77
Samsung Galaxy A02s Smartphone 32GB Storage Factory Unlocked - Black (Renewed),,Samsung,Android,4 GB,Snapdragon,1.8 GHz,(250),https://www.amazon.com/Samsung-Unlocked-Smartphone-Snapdragon-Processor/dp/B09813F5LX/ref=sr_1_76?dib=eyJ2IjoiMSJ9.9URWIZXNgbzb-oeC_oSYYiSxo7fFZp_-lsAqh9h17Up-RHtRIB4vnZtX2qXdAH-_u32nKEh3BRqIiUbxtYitfKEyj0tAMi5WgJCPo8KvKPTkveDDSds7AdTJNt-kzSYo2hFBkZ3fM2u2e7ymWxppAv4-CqKRJdj6TO3nbVIlV8k_SLny4SkBLPSQfYCJvjhKzoLWZOmt4r7v8Wmn48qCgKZrxWkZB5h5VVkFpUq4TSI.VPBuyHj7vZZhj6w5gW5RaEYN1E3Y99oIugWv0G1I9uY&dib_tag=se&keywords=samsung+phone&qid=1774770284&sr=8-76
SAMSUNG Galaxy S23+ Plus 5G Factory Unlocked 256GB - Phantom Black (Renewed),,Samsung,Android,8 GB,Snapdragon,3.36 GHz,(416),https://www.amazon.com/SAMSUNG-Galaxy-S23-Factory-Unlocked/dp/B0C7DZB9KN/ref=sr_1_75?dib=eyJ2IjoiMSJ9.9URWIZXNgbzb-oeC_oSYYiSxo7fFZp_-lsAqh9h17Up-RHtRIB4vnZtX2qXdAH-_u32nKEh3BRqIiUbxtYitfKEyj0tAMi5WgJCPo8KvKPTkveDDSds7AdTJNt-kzSYo2hFBkZ3fM2u2e7ymWxppAv4-CqKRJdj6TO3nbVIlV8k_SLny4SkBLPSQfYCJvjhKzoLWZOmt4r7v8Wmn48qCgKZrxWkZB5h5VVkFpUq4TSI.VPBuyHj7vZZhj6w5gW5RaEYN1E3Y99oIugWv0G1I9uY&dib_tag=se&keywords=samsung+phone&qid=1774770284&sr=8-75
